id_bo,sentenca,non_conformity_score
11656,"

**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**
**DATA DOS FATOS:** 25/09/2024
**HORA INICIAL DOS FATOS:** Não informada
**LOCAL:** CUIABA/RESIDENCIAL COXIPO - RESIDÊNCIA PARTICULAR
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO
**RELATO SUCINTO DOS ACONTECIMENTOS**: Comunicante relata que seu número de celular e contas do Gmail foram clonados.",0.0
11656,Indivíduos utilizaram os dados para solicitar saques em Pix a pessoas conhecidas.,0.0
11656,"Identificada saída financeira no nome de Bruna Silva, CPF 49931379861.",0.0
13564,"

**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**
**DATA DOS FATOS:** 27/01/2024
**HORA INICIAL DOS FATOS:** Não informado (sistema)
**LOCAL:** CUIABA/COOPHAMIL - INTERNET
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO
**RELATO SUCINTO DOS ACONTECIMENTOS**: Vítima relata que contas de redes sociais e serviços digitais (Gmail, Instagram, Facebook, Mercado Livre, Spotify) foram clonadas/hackeadas por terceiros.",0.0
13564,"O suspeito utilizou as credenciais para realizar vendas e compras indevidas nas plataformas, além de modificar configurações em Netflix e Spotify, causando prejuízos financeiros na atividade comercial da vítima.",0.0
13564,"Após perceber a fraude e obter acesso novamente, constatou o uso das contas pelo hackeado e registrou o fato junto às autoridades competentes.",0.0
12917,"

**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**
**DATA DOS FATOS:** 16/07/2024
**HORA INICIAL DOS FATOS:** 16:30
**LOCAL:** CUIABA/JARDIM DAS AMERICAS
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES
**RELATO SUCINTO DOS ACONTECIMENTOS**: Golpistas entraram em contato com os clientes, utilizando-se de nomes e solicitando transferência de valores via o número (65) 998110392.",0.0
12917,Há risco identificado para clientes idosos de cometerem erro ao transferir valores aos delinquentes.,0.2
12917,Ocorrência confeccionada pelo comunicante.,0.0
12131,"

**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**
**DATA DOS FATOS:** 30/04/2024
**HORA INICIAL DOS FATOS:** 07:30
**LOCAL:** CUIABA/CONSIL (INTERNET)
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO
**RELATO SUCINTO DOS ACONTECIMENTOS**: Vítima pretendia adquirir curso online de perícias médicas após receber propaganda por canais oficiais (WhatsApp e e-mail).",0.0
12131,"Ao acessar o link de matrícula, foi redirecionada a um canal fraudulento idêntico ao oficial, criado no WhatsApp anterior dia.",0.0
12131,Efetuou pagamento via PIX no valor de R$ 6000 para conta fraudulenta.,0.0
12131,"Golpe identificado após conferência do e-mail de retorno e verificação do grupo oficial, constatando que golpistas utilizavam link falso para induzir membros à fraude.",0.0
